Project,Duration (sec)
InfoBotDataset.pdf,120.0
InfoBotDataset.pdf,779.6
NutriSwapDataset.pdf,90.0
NutriSwapDataset.pdf,420.0
InfoBotDataset.pdf,30.0
InfoBotDataset.pdf,350.7
InfoBotDataset.pdf,240.0
NutriSwapDataset.pdf,242.0
NutriSwapDataset.pdf,270.0
InfoBotDataset.pdf,303.5
NutriSwapDataset.pdf,89.9
InfoBotDataset.pdf,150.0
NutriSwapDataset.pdf,90.0
NutriSwapDataset.pdf,180.9
InfoBotDataset.pdf,60.0
InfoBotDataset.pdf,120.1
InfoBotDataset.pdf,30.0
InfoBotDataset.pdf,30.0
InfoBotDataset.pdf,30.1
InfoBotDataset.pdf,711.3
NutriSwapDataset.pdf,120.2
InfoBotDataset.pdf,329.9
NutriSwapDataset.pdf,299.6
NutriSwapDataset.pdf,120.0
InfoBotDataset.pdf,163.8
InfoBotDataset.pdf,124.9
InfoBotDataset.pdf,31.5
InfoBotDataset.pdf,180.0
Lumira,150.0
InfoBotDataset.pdf,810.1
NutriSwapDataset.pdf,90.0
InfoBotDataset.pdf,92.1
InfoBotDataset.pdf,152.4
InfoBotDataset.pdf,29.9
InfoBotDataset.pdf,60.1
InfoBotDataset.pdf,510.0
InfoBotDataset.pdf,210.0
InfoBotDataset.pdf,60.0
InfoBotDataset.pdf,120.6
