Package,Version,Type,Runtime
lucide-react,^0.555.0,Production,JavaScript
qrcode,^1.5.4,Production,JavaScript
react,^19.1.1,Production,JavaScript
react-dom,^19.1.1,Production,JavaScript
react-qr-code,^2.0.18,Production,JavaScript
@eslint/js,^9.35.0,Development,JavaScript
@types/react,^19.1.13,Development,JavaScript
@types/react-dom,^19.1.9,Development,JavaScript
@vitejs/plugin-react,^5.0.2,Development,JavaScript
autoprefixer,^10.4.22,Development,JavaScript
baseline-browser-mapping,^2.10.0,Development,JavaScript
eslint,^9.35.0,Development,JavaScript
eslint-plugin-react-hooks,^5.2.0,Development,JavaScript
eslint-plugin-react-refresh,^0.4.20,Development,JavaScript
globals,^16.4.0,Development,JavaScript
postcss,^8.5.6,Development,JavaScript
tailwindcss,^3.4.17,Development,JavaScript
tailwindcss-animate,^1.0.7,Development,JavaScript
vite,^7.1.6,Development,JavaScript
